,Transmission (mag),Reflection (mag),Transmission (deg),Reflection (Deg)
552.5142621,0.993096182,0.083177906,-6.258784556,85.06276809
648.4518771,0.992630478,0.102909171,-6.779570512,84.19043297
744.3894921,0.992806014,0.123900564,-7.329078105,83.31525352
840.3271071,0.99558364,0.129799881,-7.978408921,82.56952353
936.2647221,0.995041799,0.145287412,-8.537573839,82.05206554
1032.202337,0.991041123,0.164529317,-9.461129287,80.44193487
1128.139952,0.990278016,0.176950597,-9.822507068,79.55834
1224.077567,0.983724528,0.194218807,-11.28546298,78.52145729
1320.015182,0.980087169,0.205957666,-12.29941422,77.64331626
1415.952797,0.980065912,0.213903709,-13.0561997,77.269646
1511.890412,0.974482228,0.229260676,-14.10996326,77.01360929
1607.828027,0.972143275,0.246369629,-14.32295116,75.79706714
1703.765642,0.968848247,0.26533249,-14.81424284,74.2853837
1799.703257,0.963786193,0.280702315,-16.25291304,73.94528952
1895.640872,0.963192554,0.289859478,-17.38528295,72.93677843
1991.578487,0.960155427,0.298482863,-18.06280337,72.57378199
2087.516102,0.954067416,0.316751603,-18.31015459,71.50846686
2183.453717,0.949303905,0.328524674,-20.09430401,70.58377513
2279.391332,0.939623719,0.34332098,-20.54342851,69.46297246
2375.328947,0.934881267,0.363967348,-21.32284734,68.70112172
2471.266562,0.931891676,0.37681747,-22.19876129,68.34223761
2567.204177,0.925212591,0.385282667,-22.94732335,67.64394203
2663.141792,0.91826001,0.397825043,-24.04966431,67.11164716
2759.079407,0.917685036,0.408490506,-24.91982819,66.03822767
2855.017022,0.912894855,0.412836497,-25.87127397,64.64095907
2948.670409,0.9034745,0.429166007,-27.05046351,64.11441423
3017.197276,0.900020504,0.438680194,-26.5144699,64.11509346